Amtsblatt|Land|Prägejahr|Ausgabe|Münzart|Abbildung|Münzzeichen
# SCHRIFT 'DOUBLE STRUCK' https://texteditor.com/multiline-text-art/
#  __    ____  ___   ____  _      _     _      _     _     ____  ____  _    
# / /`_ | |_  | | \ | |_  | |\ | | |_/ | |\/| | | | | |\ |  / / | |_  | |\ |
# \_\_/ |_|__ |_|_/ |_|__ |_| \| |_| \ |_|  | \_\_/ |_| \| /_/_ |_|__ |_| \|
# GEDENKMÜNZEN ----
# ___   ___   ___   ___ 
#  ) ) / / \ / / \ /_| |
# /_/_ \_\_/ \_\_/   |_|
## 2004 ----
C2004/091/06|gr|2004|2004-5-14|g|Olympische Spiele 2004 in Athen|
C2004/243/03|fi|2004|2004-6-24|g|Erweiterung der Europäischen Union um zehn neue Mitgliedstaaten|
C2004/243/05|lu|2004|2004-7-26|g|Bildnis und Monogramm des Großherzogs Henri|H links geneigt,H rechts geneigt
C2004/298/02|sm|2004|2004-12-16|g|Bartolomeo Borghesi (Historiker, Numismatiker)|
C2004/313/03|it|2004|2004-12-13|g|Fünftes Jahrzehnt des Bestehens des Welternährungsprogramms|
C2004/321/03|va|2004|2004-12-16|g|75. Jahrestag der Gründung des Staates Vatikanstadt|
# ___   ___   ___   ___
#  ) ) / / \ / / \ | | 
# /_/_ \_\_/ \_\_/ _)_)
## 2005 ----
C2005/011/03|lu|2005|2005-2-15|g|50. Geburtstag von Großherzog Henri, 5. Jahrestag seines Amtsantritts und 100. Todestag von Großherzog Adolphe|
C2005/061/07|at|2005|2005-5-11|g|50. Jahrestag der Unterzeichnung des Österreichischen Staatsvertrages|
C2005/061/08|be|2005|2005-5-20|g|Belgisch-Luxemburgische Wirtschaftsunion|
C2005/131/09|es|2005|2005-6-30|g|400. Jahrestag der Erstveröffentlichung von „Leben und Taten des scharfsinnigen edlen Don Quixote von la Mancha“|
C2005/244/03|sm|2005|2005-10-14|g|Internationales Jahr der Physik 2005|
C2005/244/04|fi|2005|2005-10-25|g|60 Jahre Vereinte Nationen und 50 Jahre UN-Mitgliedschaft Finnlands|
C2005/283/06|it|2005|2005-10-29|g|1. Jahrestag der Unterzeichnung der Europäischen Verfassung|
C2005/283/07|va|2005|2005-12-6|g|20. Weltjugendtag in Köln (August 2005)|
# ___   ___   ___    __ 
#  ) ) / / \ / / \  / / 
# /_/_ \_\_/ \_\_/ (_)_)
## 2006 ----
C2006/020/10|lu|2006|2006-2-1|g|25. Geburtstag von Erbgroßherzog Guillaume|
C2006/033/04|de|2006|2006-2-3|g|Schleswig-Holstein|A,D,F,G,J
C2006/033/05|it|2006|2006-2-10|g|XX. Olympische Winterspiele — Turin 2006|
C2006/053/03|be|2006|2006-4-10|g|Atomium|
C2006/248/02|fi|2006|2006-10-4|g|100 Jahre allgemeine, gleiche, geheime und freie Wahlen|
C2006/248/03|sm|2006|2006-10-17|g|500. Todestag von Christoph Kolumbus|
C2006/260/06|va|2006|2006-11-9|g|500 Jahre Päpstliche Schweizergarde|
# ___   ___   ___  ____
#  ) ) / / \ / / \  / /
# /_/_ \_\_/ \_\_/ /_/ 
## 2007 ----
C2007/053/02|lu|2007|2007-2-2|g|Großherzoglicher Palast|
C2007/065/04|be|2007|2007-3-26|g|50. Jahrestag der Unterzeichnung des Vertrags von Rom|
C2007/065/04|de|2007|2007-3-25|g|50. Jahrestag der Unterzeichnung des Vertrags von Rom|A,D,F,G,J
C2007/065/04|ie|2007|2007-3-26|g|50. Jahrestag der Unterzeichnung des Vertrags von Rom|
C2007/065/04|gr|2007|2007-3-26|g|50. Jahrestag der Unterzeichnung des Vertrags von Rom|
C2007/065/04|es|2007|2007-3-25|g|50. Jahrestag der Unterzeichnung des Vertrags von Rom|
C2007/065/04|fr|2007|2007-4-2|g|50. Jahrestag der Unterzeichnung des Vertrags von Rom|
C2007/065/04|it|2007|2007-3-25|g|50. Jahrestag der Unterzeichnung des Vertrags von Rom|
C2007/065/04|lu|2007|2007-3-26|g|50. Jahrestag der Unterzeichnung des Vertrags von Rom|
C2007/065/04|nl|2007|2007-3-26|g|50. Jahrestag der Unterzeichnung des Vertrags von Rom|
